"name","essround","edition","proddate","idno","cntry","dweight","pspwght","pweight","anweight","wrclmch","prob","stratum","psu"
"ESS11e03",11,"3.0","02.06.2025",50014,"AT",1.1851145,0.39289063,0.33091453,0.13001321,4,0.0005786479,107,317
"ESS11e03",11,"3.0","02.06.2025",50030,"AT",0.6098981,0.32515332,0.33091453,0.107597955,5,0.0011243912,69,128
"ESS11e03",11,"3.0","02.06.2025",50057,"AT",1.3923296,4.0000234,0.33091453,1.3236659,5,0.00049253,18,418
"ESS11e03",11,"3.0","02.06.2025",50106,"AT",0.5560615,0.17622764,0.33091453,0.058316287,4,0.0012332522,101,295
"ESS11e03",11,"3.0","02.06.2025",50145,"AT",0.7227953,1.0609399,0.33091453,0.35108042,4,0.0009487666,115,344
"ESS11e03",11,"3.0","02.06.2025",50158,"AT",0.9926053,1.3928125,0.33091453,0.4609019,4,0.0006908728,7,373
"ESS11e03",11,"3.0","02.06.2025",50211,"AT",0.5403178,0.5771863,0.33091453,0.19099933,3,0.0012691865,58,86
"ESS11e03",11,"3.0","02.06.2025",50212,"AT",0.81462234,0.6194855,0.33091453,0.20499675,4,0.0008418184,38,3
"ESS11e03",11,"3.0","02.06.2025",50213,"AT",1.3649563,0.69363487,0.33091453,0.22953385,4,0.0005024074,62,108
"ESS11e03",11,"3.0","02.06.2025",50235,"AT",0.872949,0.49226722,0.33091453,0.16289838,2,0.0007855717,105,314
"ESS11e03",11,"3.0","02.06.2025",50236,"AT",0.6989865,0.35520682,0.33091453,0.117543094,4,0.0009810835,26,622
"ESS11e03",11,"3.0","02.06.2025",50238,"AT",0.8320375,0.31393012,0.33091453,0.10388404,3,0.0008241984,94,242
"ESS11e03",11,"3.0","02.06.2025",50240,"AT",0.87345386,0.27681613,0.33091453,0.09160248,4,0.0007851177,100,270
"ESS11e03",11,"3.0","02.06.2025",50248,"AT",0.9025512,0.50895995,0.33091453,0.16842224,3,0.00075980625,98,255
"ESS11e03",11,"3.0","02.06.2025",50270,"AT",0.58181804,4.0006237,0.33091453,1.3238645,4,0.0011786572,5,368
"ESS11e03",11,"3.0","02.06.2025",50281,"AT",0.69352174,0.4163573,0.33091453,0.13777868,4,0.000988814,35,783
"ESS11e03",11,"3.0","02.06.2025",50310,"AT",2.3245115,0.87704426,0.33091453,0.2902267,4,0.00029501427,75,165
"ESS11e03",11,"3.0","02.06.2025",50311,"AT",0.9926053,1.3928125,0.33091453,0.4609019,2,0.0006908728,7,373
"ESS11e03",11,"3.0","02.06.2025",50324,"AT",1.0702981,1.6595315,0.33091453,0.5491631,3,0.00064072246,56,73
"ESS11e03",11,"3.0","02.06.2025",50339,"AT",0.5560615,1.2854693,0.33091453,0.42538047,3,0.0012332522,101,283
"ESS11e03",11,"3.0","02.06.2025",50341,"AT",0.48294935,0.67766964,0.33091453,0.22425073,2,0.0014199503,17,414
"ESS11e03",11,"3.0","02.06.2025",50349,"AT",0.9926053,1.4569765,0.33091453,0.4821347,5,0.0006908728,7,373
"ESS11e03",11,"3.0","02.06.2025",50355,"AT",0.7366085,1.142137,0.33091453,0.37794974,2,0.0009309749,21,610
"ESS11e03",11,"3.0","02.06.2025",50358,"AT",1.9501987,3.2578714,0.33091453,1.078077,2,0.00035163807,23,429
"ESS11e03",11,"3.0","02.06.2025",50363,"AT",1.9560468,0.99401224,0.33091453,0.3289331,3,0.00035058672,45,31
"ESS11e03",11,"3.0","02.06.2025",50367,"AT",0.6098981,0.19328976,0.33091453,0.063962385,3,0.0011243912,69,132
"ESS11e03",11,"3.0","02.06.2025",50375,"AT",1.4462273,1.7788271,0.33091453,0.58863974,4,0.00047417445,41,19
"ESS11e03",11,"3.0","02.06.2025",50380,"AT",1.298475,0.3483306,0.33091453,0.11526765,3,0.00052813033,99,266
